Time (s),Velocity (m/s),Gamma (rad),Altitude (m),G-force,Angle of Attack (rad),AoA Adjustment (rad)
136,136,[6317.69752075],[0.07238451],[85121.04518179],[1.78107057],[-0.66331911],[-0.06633191]
137,137,[6316.17641701],[0.07193584],[85577.9493888],[1.77434275],[-0.66230401],[-0.0662304]
138,138,[6314.71820736],[0.07147742],[86031.91709943],[1.76806359],[-0.66136169],[-0.06613617]
139,139,[6313.31862332],[0.07100994],[86482.89263025],[1.76188569],[-0.66043734],[-0.06604373]
140,140,[6311.97679433],[0.07053356],[86930.82432563],[1.75615298],[-0.65958441],[-0.06595844]
141,141,[6310.68847489],[0.07004898],[87375.66146136],[1.75082804],[-0.65879658],[-0.06587966]
142,142,[6309.44977763],[0.06955683],[87817.35731302],[1.74587658],[-0.65806812],[-0.06580681]
143,143,[6308.25714333],[0.06905769],[88255.86882307],[1.74126717],[-0.65739383],[-0.06573938]
144,144,[6307.10731333],[0.06855209],[88691.15629535],[1.73697109],[-0.65676897],[-0.0656769]
145,145,[6305.99730402],[0.06804052],[89123.18311515],[1.73296203],[-0.65618925],[-0.06561893]
146,146,[6304.92438342],[0.06752344],[89551.91549267],[1.72921595],[-0.65565077],[-0.06556508]
147,147,[6303.88604964],[0.06700124],[89977.32222825],[1.72571085],[-0.65514997],[-0.065515]
148,148,[6302.88001117],[0.06647432],[90399.37449737],[1.72242665],[-0.65468361],[-0.06546836]
149,149,[6301.90416877],[0.06594301],[90818.04565399],[1.71934497],[-0.65424876],[-0.06542488]
150,150,[6300.95659893],[0.06540763],[91233.31105064],[1.71644574],[-0.65384224],[-0.06538422]
151,151,[6300.03557104],[0.06486847],[91645.14787385],[1.71371573],[-0.65346194],[-0.06534619]
152,152,[6299.13948056],[0.06432579],[92053.53496394],[1.71113793],[-0.65310517],[-0.06531052]
153,153,[6298.26688645],[0.06377983],[92458.45269644],[1.70870085],[-0.65277013],[-0.06527701]
154,154,[6297.41645727],[0.06323083],[92859.88282917],[1.70639385],[-0.65245513],[-0.06524551]
155,155,[6296.58696313],[0.06267897],[93257.80839907],[1.70420706],[-0.65215863],[-0.06521586]
156,156,[6295.77726836],[0.06212446],[93652.21362646],[1.70213135],[-0.65187919],[-0.06518792]
157,157,[6294.98632446],[0.06156746],[94043.08382631],[1.70015827],[-0.65161549],[-0.06516155]
158,158,[6294.21316365],[0.06100814],[94430.4053259],[1.69828],[-0.65136632],[-0.06513663]
159,159,[6293.45689276],[0.06044665],[94814.16538869],[1.69648931],[-0.65113054],[-0.06511305]
160,160,[6292.71668761],[0.05988313],[95194.35214378],[1.69477954],[-0.65090712],[-0.06509071]
161,161,[6291.9917877],[0.0593177],[95570.95452077],[1.69314453],[-0.65069511],[-0.06506951]
162,162,[6291.28149137],[0.0587505],[95943.96218941],[1.69157858],[-0.65049362],[-0.06504936]
163,163,[6290.5851512],[0.05818161],[96313.36550402],[1.69007646],[-0.65030185],[-0.06503018]
164,164,[6289.9021699],[0.05761116],[96679.15545197],[1.68863333],[-0.65011904],[-0.0650119]
165,165,[6289.2319963],[0.05703923],[97041.32360626],[1.68724473],[-0.64994452],[-0.06499445]
166,166,[6288.57412187],[0.05646591],[97399.8620817],[1.68590655],[-0.64977765],[-0.06497777]
167,167,[6287.92807727],[0.05589128],[97754.76349445],[1.684615],[-0.64961785],[-0.06496178]
168,168,[6287.29342938],[0.05531542],[98106.02092478],[1.68336659],[-0.64946457],[-0.06494646]
169,169,[6286.66977838],[0.0547384],[98453.62788259],[1.6821581],[-0.64931733],[-0.06493173]
170,170,[6286.05675517],[0.05416027],[98797.57827577],[1.68098657],[-0.64917567],[-0.06491757]
171,171,[6285.45401894],[0.0535811],[99137.86638088],[1.67984926],[-0.64903917],[-0.06490392]
172,172,[6284.86125496],[0.05300095],[99474.48681621],[1.67874367],[-0.64890746],[-0.06489075]
173,173,[6284.27817249],[0.05241987],[99807.43451692],[1.67766746],[-0.64878016],[-0.06487802]
174,174,[6283.70450293],[0.0518379],[100136.70471207],[1.67662126],[-0.64865738],[-0.06486574]
175,175,[6283.13997108],[0.0512551],[100462.29290351],[1.67560782],[-0.64853953],[-0.06485395]
176,176,[6282.58427417],[0.05067151],[100784.19487153],[1.67461596],[-0.64842491],[-0.06484249]
177,177,[6282.0372184],[0.05008718],[101102.40670011],[1.67364441],[-0.64831333],[-0.06483133]
178,178,[6281.4986221],[0.04950213],[101416.92467458],[1.67269192],[-0.64820459],[-0.06482046]
179,179,[6280.96831536],[0.0489164],[101727.74526995],[1.67175732],[-0.64809853],[-0.06480985]
180,180,[6280.44613943],[0.04833002],[102034.86513954],[1.67083948],[-0.64799496],[-0.0647995]
181,181,[6279.93194626],[0.04774302],[102338.28110424],[1.66993735],[-0.64789372],[-0.06478937]
182,182,[6279.42559791],[0.04715542],[102637.99014216],[1.66904991],[-0.64779467],[-0.06477947]
183,183,[6278.92696597],[0.04656725],[102933.98937889],[1.66817623],[-0.64769765],[-0.06476977]
184,184,[6278.43593104],[0.04597853],[103226.27607827],[1.66731542],[-0.64760254],[-0.06476025]
185,185,[6277.95238212],[0.04538928],[103514.84763371],[1.66646664],[-0.6475092],[-0.06475092]
186,186,[6277.47621611],[0.04479953],[103799.70156005],[1.66562914],[-0.64741753],[-0.06474175]
187,187,[6277.00733725],[0.04420929],[104080.83548592],[1.66480218],[-0.6473274],[-0.06473274]
188,188,[6276.54565667],[0.04361858],[104358.24714659],[1.66398509],[-0.64723873],[-0.06472387]
189,189,[6276.09109187],[0.04302743],[104631.93437735],[1.66317726],[-0.6471514],[-0.06471514]
190,190,[6275.64356627],[0.04243583],[104901.8951073],[1.6623781],[-0.64706534],[-0.06470653]
