Time (s),Velocity (m/s),Gamma (rad),Altitude (m),G-force,Angle of Attack (rad),AoA Adjustment (rad)
804,804,[3374.38686387],[-0.00957767],[42851.84313673],[1.93906028],[-1.8649398],[-0.18649398]
805,805,[3366.94722825],[-0.00963904],[42819.52487423],[1.93933752],[-1.86509788],[-0.18650979]
806,806,[3359.49707987],[-0.00969885],[42787.07125429],[1.93965163],[-1.86526091],[-0.18652609]
807,807,[3352.03606346],[-0.00975699],[42754.48849906],[1.93999206],[-1.86542731],[-0.18654273]
808,808,[3344.56392686],[-0.00981335],[42721.78324243],[1.9403484],[-1.86559556],[-0.18655956]
809,809,[3337.08051988],[-0.00986787],[42688.96240067],[1.94071053],[-1.86576416],[-0.18657642]
810,810,[3329.58579156],[-0.00992055],[42656.03304532],[1.94106874],[-1.86593169],[-0.18659317]
811,811,[3322.0797861],[-0.00997138],[42623.00228027],[1.9414139],[-1.86609685],[-0.18660968]
812,812,[3314.56263742],[-0.01002041],[42589.87712465],[1.94173754],[-1.86625839],[-0.18662584]
813,813,[3307.03456263],[-0.01006773],[42556.66440326],[1.942032],[-1.86641524],[-0.18664152]
814,814,[3299.49585441],[-0.01011343],[42523.37064568],[1.94229045],[-1.86656641],[-0.18665664]
815,815,[3291.94687266],[-0.01015765],[42490.00199552],[1.94250701],[-1.86671108],[-0.18667111]
816,816,[3284.38803543],[-0.01020054],[42456.56413045],[1.94267676],[-1.86684857],[-0.18668486]
817,817,[3276.81980943],[-0.01024226],[42423.06219396],[1.94279581],[-1.86697834],[-0.18669783]
818,818,[3269.24270019],[-0.01028301],[42389.50073932],[1.94286126],[-1.86710001],[-0.18671]
819,819,[3261.65724214],[-0.01032297],[42355.88368588],[1.94287123],[-1.86721335],[-0.18672133]
820,820,[3254.06398875],[-0.01036236],[42322.21428792],[1.94282482],[-1.86731825],[-0.18673182]
821,821,[3246.46350287],[-0.01040137],[42288.49511588],[1.94272209],[-1.86741475],[-0.18674148]
822,822,[3238.85634744],[-0.01044022],[42254.72804948],[1.94256399],[-1.86750304],[-0.1867503]
823,823,[3231.24307673],[-0.01047911],[42220.91428236],[1.94235228],[-1.86758338],[-0.18675834]
824,824,[3223.62422821],[-0.01051825],[42187.05433741],[1.94208949],[-1.86765619],[-0.18676562]
825,825,[3216.00031509],[-0.01055781],[42153.1480921],[1.94177883],[-1.86772194],[-0.18677219]
826,826,[3208.37181979],[-0.01059798],[42119.19481258],[1.94142406],[-1.86778121],[-0.18677812]
827,827,[3200.73918815],[-0.01063892],[42085.19319581],[1.94102945],[-1.86783463],[-0.18678346]
828,828,[3193.10282472],[-0.01068079],[42051.14141834],[1.94059965],[-1.86788289],[-0.18678829]
829,829,[3185.46308891],[-0.01072372],[42017.03719065],[1.94013958],[-1.86792672],[-0.18679267]
830,830,[3177.82029209],[-0.01076783],[41982.8778158],[1.93965437],[-1.86796687],[-0.18679669]
831,831,[3170.17469576],[-0.0108132],[41948.66025129],[1.93914923],[-1.86800411],[-0.18680041]
832,832,[3162.52651052],[-0.01085993],[41914.38117271],[1.93862939],[-1.86803919],[-0.18680392]
833,833,[3154.87589601],[-0.01090806],[41880.0370383],[1.93809997],[-1.86807285],[-0.18680729]
834,834,[3147.22296169],[-0.01095763],[41845.62415302],[1.93756595],[-1.86810583],[-0.18681058]
835,835,[3139.56776837],[-0.01100867],[41811.13873142],[1.93703207],[-1.86813879],[-0.18681388]
836,836,[3131.91033046],[-0.01106118],[41776.57695805],[1.93650277],[-1.86817239],[-0.18681724]
837,837,[3124.25061886],[-0.01111514],[41741.93504478],[1.93598213],[-1.8682072],[-0.18682072]
838,838,[3116.58856435],[-0.01117052],[41707.2092842],[1.93547385],[-1.86824375],[-0.18682438]
839,839,[3108.92406147],[-0.01122728],[41672.39609846],[1.93498118],[-1.86828251],[-0.18682825]
840,840,[3101.25697275],[-0.01128535],[41637.492083],[1.93450693],[-1.86832386],[-0.18683239]
841,841,[3093.58713322],[-0.01134468],[41602.49404483],[1.93405339],[-1.86836813],[-0.18683681]
842,842,[3085.91435508],[-0.01140518],[41567.39903503],[1.9336224],[-1.86841557],[-0.18684156]
843,843,[3078.23843245],[-0.01146678],[41532.20437523],[1.93321529],[-1.86846635],[-0.18684664]
844,844,[3070.55914618],[-0.01152937],[41496.9076781],[1.93283292],[-1.8685206],[-0.18685206]
845,845,[3062.87626855],[-0.01159286],[41461.50686179],[1.93247568],[-1.86857835],[-0.18685784]
846,846,[3055.18956783],[-0.01165716],[41426.00015852],[1.93214352],[-1.86863959],[-0.18686396]
847,847,[3047.49881266],[-0.01172218],[41390.38611745],[1.93183596],[-1.86870422],[-0.18687042]
848,848,[3039.80377612],[-0.01178782],[41354.66360219],[1.93155215],[-1.86877211],[-0.18687721]
849,849,[3032.1042395],[-0.01185398],[41318.8317833],[1.93129087],[-1.86884308],[-0.18688431]
850,850,[3024.39999576],[-0.01192058],[41282.89012622],[1.93105063],[-1.8689169],[-0.18689169]
851,851,[3016.69085246],[-0.01198754],[41246.83837502],[1.93082966],[-1.8689933],[-0.18689933]
852,852,[3008.97663445],[-0.01205479],[41210.6765326],[1.93062595],[-1.86907198],[-0.1869072]
853,853,[3001.25718596],[-0.01212225],[41174.40483787],[1.93043735],[-1.86915263],[-0.18691526]
854,854,[2993.53237233],[-0.01218987],[41138.02374036],[1.93026156],[-1.86923491],[-0.18692349]
855,855,[2985.80208125],[-0.0122576],[41101.53387295],[1.93009623],[-1.86931847],[-0.18693185]
856,856,[2978.06622358],[-0.0123254],[41064.93602326],[1.92993895],[-1.86940296],[-0.1869403]
857,857,[2970.32473372],[-0.01239323],[41028.2311042],[1.92978732],[-1.86948804],[-0.1869488]
858,858,[2962.57756958],[-0.01246108],[40991.42012434],[1.92963898],[-1.86957337],[-0.18695734]
859,859,[2954.82471215],[-0.01252894],[40954.50415845],[1.92949166],[-1.86965862],[-0.18696586]
860,860,[2947.0661647],[-0.01259679],[40917.48431882],[1.92934321],[-1.86974348],[-0.18697435]
861,861,[2939.30195172],[-0.01266465],[40880.36172771],[1.92919162],[-1.86982767],[-0.18698277]
862,862,[2931.53211749],[-0.01273253],[40843.13749143],[1.92903504],[-1.86991092],[-0.18699109]
863,863,[2923.75672447],[-0.01280045],[40805.81267619],[1.92887181],[-1.86999301],[-0.1869993]
864,864,[2915.97585145],[-0.01286845],[40768.38828622],[1.92870048],[-1.87007373],[-0.18700737]
865,865,[2908.18959158],[-0.01293654],[40730.8652443],[1.92851982],[-1.8701529],[-0.18701529]
866,866,[2900.39805025],[-0.01300478],[40693.24437483],[1.9283288],[-1.8702304],[-0.18702304]
867,867,[2892.60134291],[-0.01307321],[40655.52638963],[1.92812665],[-1.87030611],[-0.18703061]
868,868,[2884.7995929],[-0.01314188],[40617.71187652],[1.9279128],[-1.87037996],[-0.187038]
869,869,[2876.99292921],[-0.01321082],[40579.80129072],[1.9276869],[-1.87045191],[-0.18704519]
870,870,[2869.1814844],[-0.01328011],[40541.79494896],[1.92744881],[-1.87052195],[-0.1870522]
871,871,[2861.36539246],[-0.01334978],[40503.69302625],[1.92719861],[-1.87059009],[-0.18705901]
872,872,[2853.54478694],[-0.0134199],[40465.49555534],[1.92693654],[-1.87065638],[-0.18706564]
873,873,[2845.71979909],[-0.0134905],[40427.20242838],[1.92666301],[-1.87072088],[-0.18707209]
874,874,[2837.89055622],[-0.01356165],[40388.81340099],[1.92637858],[-1.87078368],[-0.18707837]
875,875,[2830.05718027],[-0.01363339],[40350.32809818],[1.92608396],[-1.87084488],[-0.18708449]
876,876,[2822.21978651],[-0.01370576],[40311.74602212],[1.92577994],[-1.8709046],[-0.18709046]
877,877,[2814.37848244],[-0.01377881],[40273.06656138],[1.92546741],[-1.87096297],[-0.1870963]
878,878,[2806.533367],[-0.01385257],[40234.28900143],[1.92514733],[-1.87102014],[-0.18710201]
879,879,[2798.68452986],[-0.01392708],[40195.41253612],[1.92482069],[-1.87107624],[-0.18710762]
880,880,[2790.832051],[-0.01400237],[40156.43627987],[1.92448851],[-1.87113144],[-0.18711314]
881,881,[2782.97600048],[-0.01407847],[40117.35928038],[1.92415183],[-1.87118586],[-0.18711859]
882,882,[2775.11643835],[-0.01415539],[40078.18053143],[1.92381165],[-1.87123967],[-0.18712397]
883,883,[2767.2534148],[-0.01423316],[40038.89898576],[1.92346897],[-1.871293],[-0.1871293]
884,884,[2759.38697049],[-0.01431178],[39999.51356767],[1.9231247],[-1.87134598],[-0.1871346]
885,885,[2751.51713691],[-0.01439126],[39960.02318512],[1.92277974],[-1.87139875],[-0.18713987]
886,886,[2743.64393703],[-0.01447162],[39920.42674127],[1.92243488],[-1.87145141],[-0.18714514]
887,887,[2735.76738594],[-0.01455286],[39880.72314518],[1.92209086],[-1.87150406],[-0.18715041]
888,888,[2727.88749164],[-0.01463496],[39840.91132163],[1.92174831],[-1.8715568],[-0.18715568]
889,889,[2720.0042559],[-0.01471793],[39800.99021986],[1.92140778],[-1.87160971],[-0.18716097]
890,890,[2712.11767512],[-0.01480177],[39760.95882127],[1.92106972],[-1.87166283],[-0.18716628]
891,891,[2704.22774133],[-0.01488646],[39720.81614591],[1.92073449],[-1.87171623],[-0.18717162]
892,892,[2696.33444307],[-0.01497199],[39680.5612578],[1.92040235],[-1.87176994],[-0.18717699]
893,893,[2688.43776638],[-0.01505836],[39640.19326899],[1.92007345],[-1.87182398],[-0.1871824]
894,894,[2680.53769568],[-0.01514554],[39599.71134256],[1.91974787],[-1.87187835],[-0.18718784]
895,895,[2672.63421471],[-0.01523354],[39559.11469428],[1.91942561],[-1.87193306],[-0.18719331]
896,896,[2664.72730733],[-0.01532233],[39518.40259333],[1.91910656],[-1.87198809],[-0.18719881]
897,897,[2656.8169583],[-0.0154119],[39477.57436192],[1.91879057],[-1.87204341],[-0.18720434]
898,898,[2648.90315403],[-0.01550225],[39436.62937391],[1.91847741],[-1.87209898],[-0.1872099]
899,899,[2640.98588317],[-0.01559336],[39395.56705263],[1.91816678],[-1.87215478],[-0.18721548]
900,900,[2633.06513717],[-0.01568523],[39354.38686792],[1.91785836],[-1.87221074],[-0.18722107]
901,901,[2625.14091076],[-0.01577784],[39313.08833253],[1.91755178],[-1.87226683],[-0.18722668]
902,902,[2617.21320233],[-0.01587119],[39271.67099792],[1.91724665],[-1.87232296],[-0.1872323]
903,903,[2609.28201419],[-0.01596528],[39230.13444969],[1.91694253],[-1.8723791],[-0.18723791]
904,904,[2601.34735278],[-0.0160601],[39188.47830267],[1.916639],[-1.87243518],[-0.18724352]
905,905,[2593.40922881],[-0.01615566],[39146.70219582],[1.91633563],[-1.87249113],[-0.18724911]
906,906,[2585.46765726],[-0.01625195],[39104.805787],[1.91603199],[-1.8725469],[-0.18725469]
907,907,[2577.52265735],[-0.01634898],[39062.78874774],[1.91572766],[-1.87260242],[-0.18726024]
908,908,[2569.57425246],[-0.01644676],[39020.65075815],[1.91542224],[-1.87265765],[-0.18726577]
909,909,[2561.6224699],[-0.01654529],[38978.39150195],[1.91511535],[-1.87271253],[-0.18727125]
910,910,[2553.66734075],[-0.01664458],[38936.01066178],[1.91480665],[-1.87276701],[-0.1872767]
911,911,[2545.70889954],[-0.01674464],[38893.50791481],[1.91449581],[-1.87282105],[-0.18728211]
912,912,[2537.74718396],[-0.01684549],[38850.88292872],[1.91418256],[-1.87287461],[-0.18728746]
913,913,[2529.78223453],[-0.01694714],[38808.13535814],[1.91386665],[-1.87292766],[-0.18729277]
914,914,[2521.81409423],[-0.0170496],[38765.26484144],[1.91354787],[-1.87298017],[-0.18729802]
915,915,[2513.84280815],[-0.0171529],[38722.2709981],[1.91322604],[-1.87303211],[-0.18730321]
916,916,[2505.86842309],[-0.01725704],[38679.15342644],[1.91290105],[-1.87308348],[-0.18730835]
917,917,[2497.8909872],[-0.01736205],[38635.91170194],[1.91257278],[-1.87313426],[-0.18731343]
918,918,[2489.91054961],[-0.01746794],[38592.54537599],[1.91224119],[-1.87318445],[-0.18731844]
919,919,[2481.92716011],[-0.01757474],[38549.05397504],[1.91190625],[-1.87323403],[-0.1873234]
920,920,[2473.94086878],[-0.01768246],[38505.43700033],[1.91156796],[-1.87328303],[-0.1873283]
921,921,[2465.95172573],[-0.01779112],[38461.69392785],[1.91122635],[-1.87333143],[-0.18733314]
922,922,[2457.95978079],[-0.01790074],[38417.82420885],[1.91088148],[-1.87337926],[-0.18733793]
923,923,[2449.96508331],[-0.01801133],[38373.82727052],[1.91053343],[-1.87342653],[-0.18734265]
924,924,[2441.96768191],[-0.01812293],[38329.70251711],[1.91018229],[-1.87347325],[-0.18734732]
925,925,[2433.96762432],[-0.01823554],[38285.44933122],[1.90982818],[-1.87351944],[-0.18735194]
926,926,[2425.96495728],[-0.01834919],[38241.06707529],[1.90947121],[-1.87356511],[-0.18735651]
927,927,[2417.95972637],[-0.01846388],[38196.55509329],[1.9091115],[-1.87361029],[-0.18736103]
928,928,[2409.95197599],[-0.01857964],[38151.91271251],[1.9087492],[-1.873655],[-0.1873655]
929,929,[2401.94174932],[-0.01869649],[38107.13924542],[1.90838442],[-1.87369926],[-0.18736993]
930,930,[2393.92908829],[-0.01881443],[38062.23399155],[1.9080173],[-1.87374309],[-0.18737431]
931,931,[2385.91403364],[-0.01893349],[38017.19623942],[1.90764797],[-1.8737865],[-0.18737865]
932,932,[2377.89662492],[-0.01905367],[37972.02526832],[1.90727652],[-1.87382951],[-0.18738295]
933,933,[2369.87690061],[-0.019175],[37926.72035016],[1.90690308],[-1.87387215],[-0.18738721]
934,934,[2361.8548982],[-0.01929748],[37881.28075107],[1.90652773],[-1.87391442],[-0.18739144]
935,935,[2353.83065428],[-0.01942113],[37835.70573301],[1.90615056],[-1.87395634],[-0.18739563]
936,936,[2345.80420466],[-0.01954596],[37789.99455514],[1.90577163],[-1.87399791],[-0.18739979]
937,937,[2337.77558454],[-0.01967199],[37744.14647509],[1.90539101],[-1.87403916],[-0.18740392]
938,938,[2329.74482859],[-0.01979922],[37698.16075004],[1.90500873],[-1.87408007],[-0.18740801]
939,939,[2321.71197115],[-0.01992767],[37652.03663762],[1.90462481],[-1.87412067],[-0.18741207]
940,940,[2313.6770463],[-0.02005735],[37605.77339662],[1.90423928],[-1.87416095],[-0.1874161]
941,941,[2305.64008808],[-0.02018827],[37559.37028761],[1.90385212],[-1.87420092],[-0.18742009]
942,942,[2297.60113056],[-0.02032044],[37512.82657325],[1.90346332],[-1.87424056],[-0.18742406]
943,943,[2289.560208],[-0.02045388],[37466.14151855],[1.90307285],[-1.87427989],[-0.18742799]
944,944,[2281.51735495],[-0.0205886],[37419.31439091],[1.90268068],[-1.8743189],[-0.18743189]
945,945,[2273.47260637],[-0.02072461],[37372.34446005],[1.90228676],[-1.87435757],[-0.18743576]
946,946,[2265.42599773],[-0.02086193],[37325.2309978],[1.90189103],[-1.87439591],[-0.18743959]
947,947,[2257.37756509],[-0.02100056],[37277.97327777],[1.90149343],[-1.87443391],[-0.18744339]
948,948,[2249.32734518],[-0.02114052],[37230.57057489],[1.90109388],[-1.87447156],[-0.18744716]
949,949,[2241.27537545],[-0.02128183],[37183.02216496],[1.90069231],[-1.87450885],[-0.18745088]
950,950,[2233.22169412],[-0.0214245],[37135.32732405],[1.90028864],[-1.87454577],[-0.18745458]
951,951,[2225.16634024],[-0.02156854],[37087.48532783],[1.89988279],[-1.87458231],[-0.18745823]
952,952,[2217.10935367],[-0.02171398],[37039.49545098],[1.89947467],[-1.87461846],[-0.18746185]
953,953,[2209.05077512],[-0.02186082],[36991.35696645],[1.8990642],[-1.87465421],[-0.18746542]
954,954,[2200.99064617],[-0.02200909],[36943.06914482],[1.89865131],[-1.87468956],[-0.18746896]
955,955,[2192.92900921],[-0.0221588],[36894.63125356],[1.8982359],[-1.87472449],[-0.18747245]
956,956,[2184.86590749],[-0.02230997],[36846.04255644],[1.8978179],[-1.874759],[-0.1874759]
957,957,[2176.80138503],[-0.02246261],[36797.30231284],[1.89739723],[-1.87479307],[-0.18747931]
958,958,[2168.73548665],[-0.02261676],[36748.40977722],[1.89697382],[-1.87482671],[-0.18748267]
959,959,[2160.6682579],[-0.02277241],[36699.3641985],[1.89654761],[-1.87485989],[-0.18748599]
960,960,[2152.59974503],[-0.02292961],[36650.16481961],[1.89611852],[-1.87489262],[-0.18748926]
961,961,[2144.52999496],[-0.02308836],[36600.81087705],[1.8956865],[-1.87492489],[-0.18749249]
962,962,[2136.45905525],[-0.02324868],[36551.30160049],[1.89525149],[-1.8749567],[-0.18749567]
963,963,[2128.386974],[-0.02341061],[36501.63621244],[1.89481344],[-1.87498803],[-0.1874988]
964,964,[2120.3137999],[-0.02357415],[36451.81392801],[1.89437229],[-1.87501889],[-0.18750189]
965,965,[2112.23958212],[-0.02373934],[36401.83395467],[1.89392801],[-1.87504927],[-0.18750493]
966,966,[2104.1643703],[-0.02390619],[36351.69549212],[1.89348056],[-1.87507917],[-0.18750792]
967,967,[2096.0882145],[-0.02407473],[36301.39773221],[1.89302989],[-1.87510859],[-0.18751086]
968,968,[2088.01116522],[-0.02424497],[36250.93985881],[1.89257596],[-1.87513752],[-0.18751375]
969,969,[2079.93327328],[-0.02441695],[36200.3210479],[1.89211876],[-1.87516597],[-0.1875166]
970,970,[2071.85458991],[-0.02459069],[36149.54046754],[1.89165823],[-1.87519393],[-0.18751939]
971,971,[2063.77516663],[-0.0247662],[36098.59727794],[1.89119437],[-1.8752214],[-0.18752214]
972,972,[2055.6950553],[-0.02494352],[36047.4906316],[1.89072712],[-1.87524838],[-0.18752484]
973,973,[2047.61430809],[-0.02512267],[35996.21967334],[1.89025648],[-1.87527486],[-0.18752749]
974,974,[2039.53297746],[-0.02530368],[35944.78354055],[1.8897824],[-1.87530086],[-0.18753009]
975,975,[2031.45111618],[-0.02548656],[35893.18136324],[1.88930486],[-1.87532636],[-0.18753264]
976,976,[2023.36877733],[-0.02567135],[35841.41226424],[1.88882383],[-1.87535137],[-0.18753514]
977,977,[2015.28601427],[-0.02585807],[35789.47535936],[1.88833929],[-1.87537589],[-0.18753759]
978,978,[2007.20288072],[-0.02604675],[35737.36975753],[1.88785119],[-1.87539991],[-0.18753999]
979,979,[1999.11943068],[-0.02623741],[35685.09456098],[1.8873595],[-1.87542343],[-0.18754234]
980,980,[1991.03571853],[-0.02643008],[35632.64886535],[1.8868642],[-1.87544646],[-0.18754465]
981,981,[1982.95179897],[-0.02662479],[35580.03175986],[1.88636525],[-1.87546899],[-0.1875469]
982,982,[1974.86772711],[-0.02682156],[35527.2423274],[1.8858626],[-1.87549102],[-0.1875491]
983,983,[1966.78355842],[-0.02702043],[35474.27964466],[1.88535622],[-1.87551254],[-0.18755125]
984,984,[1958.6993488],[-0.02722141],[35421.14278223],[1.88484606],[-1.87553356],[-0.18755336]
985,985,[1950.61515457],[-0.02742455],[35367.83080461],[1.88433209],[-1.87555407],[-0.18755541]
986,986,[1942.53103249],[-0.02762986],[35314.34277037],[1.88381425],[-1.87557407],[-0.18755741]
987,987,[1934.44703982],[-0.02783739],[35260.67773208],[1.88329249],[-1.87559356],[-0.18755936]
988,988,[1926.36323427],[-0.02804715],[35206.83473642],[1.88276677],[-1.87561254],[-0.18756125]
989,989,[1918.27967409],[-0.02825918],[35152.81282415],[1.88223703],[-1.87563099],[-0.1875631]
990,990,[1910.19641803],[-0.02847351],[35098.61103008],[1.88170323],[-1.87564892],[-0.18756489]
991,991,[1902.1135254],[-0.02869017],[35044.2283831],[1.88116529],[-1.87566633],[-0.18756663]
992,992,[1894.03105607],[-0.0289092],[34989.6639061],[1.88062317],[-1.87568321],[-0.18756832]
993,993,[1885.94907046],[-0.02913062],[34934.91661595],[1.8800768],[-1.87569955],[-0.18756995]
994,994,[1877.8676296],[-0.02935447],[34879.98552345],[1.87952613],[-1.87571535],[-0.18757154]
995,995,[1869.78679512],[-0.02958078],[34824.86963323],[1.87897109],[-1.87573062],[-0.18757306]
996,996,[1861.70662925],[-0.02980959],[34769.56794373],[1.87841163],[-1.87574534],[-0.18757453]
997,997,[1853.62719485],[-0.03004093],[34714.0794471],[1.87784767],[-1.8757595],[-0.18757595]
998,998,[1845.54855541],[-0.03027484],[34658.40312914],[1.87727915],[-1.87577312],[-0.18757731]
999,999,[1837.47077507],[-0.03051136],[34602.53796919],[1.87670601],[-1.87578617],[-0.18757862]
1000,1000,[1829.39391861],[-0.03075051],[34546.48294012],[1.87612817],[-1.87579866],[-0.18757987]
1001,1001,[1821.31805146],[-0.03099234],[34490.23700817],[1.87554558],[-1.87581059],[-0.18758106]
1002,1002,[1813.24323974],[-0.03123689],[34433.79913294],[1.87495816],[-1.87582194],[-0.18758219]
1003,1003,[1805.16955022],[-0.03148419],[34377.16826729],[1.87436584],[-1.87583272],[-0.18758327]
1004,1004,[1797.09705034],[-0.03173428],[34320.3433573],[1.87376855],[-1.87584292],[-0.18758429]
1005,1005,[1789.02580823],[-0.03198721],[34263.32334218],[1.87316623],[-1.87585253],[-0.18758525]
1006,1006,[1780.9558927],[-0.03224301],[34206.10715421],[1.87255881],[-1.87586155],[-0.18758616]
1007,1007,[1772.88737327],[-0.03250173],[34148.69371873],[1.8719462],[-1.87586999],[-0.187587]
1008,1008,[1764.82032014],[-0.03276341],[34091.08195405],[1.87132834],[-1.87587782],[-0.18758778]
1009,1009,[1756.75480421],[-0.03302808],[34033.27077144],[1.87070516],[-1.87588505],[-0.1875885]
1010,1010,[1748.69089709],[-0.0332958],[33975.25907508],[1.87007658],[-1.87589168],[-0.18758917]
1011,1011,[1740.62867112],[-0.03356661],[33917.04576204],[1.86944252],[-1.87589769],[-0.18758977]
1012,1012,[1732.56819933],[-0.03384056],[33858.62972225],[1.86880292],[-1.87590309],[-0.18759031]
1013,1013,[1724.5095555],[-0.03411768],[33800.00983849],[1.8681577],[-1.87590787],[-0.18759079]
1014,1014,[1716.45281414],[-0.03439803],[33741.18498638],[1.86750677],[-1.87591203],[-0.1875912]
1015,1015,[1708.3980505],[-0.03468165],[33682.15403438],[1.86685006],[-1.87591556],[-0.18759156]
1016,1016,[1700.34534057],[-0.0349686],[33622.91584376],[1.86618749],[-1.87591846],[-0.18759185]
1017,1017,[1692.2947611],[-0.03525891],[33563.46926862],[1.86551899],[-1.87592073],[-0.18759207]
1018,1018,[1684.24638962],[-0.03555265],[33503.81315592],[1.86484446],[-1.87592235],[-0.18759223]
1019,1019,[1676.20030442],[-0.03584986],[33443.94634544],[1.86416383],[-1.87592333],[-0.18759233]
1020,1020,[1668.15658458],[-0.03615059],[33383.86766984],[1.86347702],[-1.87592366],[-0.18759237]
1021,1021,[1660.11530997],[-0.0364549],[33323.57595462],[1.86278394],[-1.87592333],[-0.18759233]
1022,1022,[1652.07656128],[-0.03676284],[33263.0700182],[1.8620845],[-1.87592235],[-0.18759223]
1023,1023,[1644.04041999],[-0.03707446],[33202.34867192],[1.86137861],[-1.8759207],[-0.18759207]
1024,1024,[1636.00696843],[-0.03738982],[33141.41072003],[1.86066619],[-1.87591839],[-0.18759184]
1025,1025,[1627.97628975],[-0.03770898],[33080.25495975],[1.85994715],[-1.8759154],[-0.18759154]
1026,1026,[1619.94846798],[-0.03803199],[33018.88018129],[1.8592214],[-1.87591174],[-0.18759117]
1027,1027,[1611.92358799],[-0.03835891],[32957.28516789],[1.85848883],[-1.87590739],[-0.18759074]
1028,1028,[1603.90173551],[-0.0386898],[32895.4686958],[1.85774937],[-1.87590236],[-0.18759024]
1029,1029,[1595.88299719],[-0.03902472],[32833.4295344],[1.85700291],[-1.87589664],[-0.18758966]
1030,1030,[1587.86746057],[-0.03936374],[32771.16644614],[1.85624935],[-1.87589022],[-0.18758902]
1031,1031,[1579.85521408],[-0.03970691],[32708.67818666],[1.8554886],[-1.8758831],[-0.18758831]
1032,1032,[1571.84634709],[-0.04005429],[32645.96350477],[1.85472056],[-1.87587528],[-0.18758753]
1033,1033,[1563.84094993],[-0.04040596],[32583.02114252],[1.85394511],[-1.87586674],[-0.18758667]
1034,1034,[1555.83911385],[-0.04076198],[32519.84983523],[1.85316217],[-1.87585749],[-0.18758575]
1035,1035,[1547.84093107],[-0.04112241],[32456.44831158],[1.85237162],[-1.87584751],[-0.18758475]
1036,1036,[1539.8464948],[-0.04148733],[32392.81529357],[1.85157336],[-1.87583681],[-0.18758368]
1037,1037,[1531.85589924],[-0.0418568],[32328.94949668],[1.85076728],[-1.87582538],[-0.18758254]
1038,1038,[1523.86923959],[-0.04223089],[32264.84962983],[1.84995327],[-1.87581321],[-0.18758132]
1039,1039,[1515.88661207],[-0.04260968],[32200.51439552],[1.84913121],[-1.8758003],[-0.18758003]
1040,1040,[1507.90811393],[-0.04299324],[32135.94248984],[1.84641421],[-1.8755276],[-0.18755276]
1041,1041,[1499.95234728],[-0.04339651],[32071.13260255],[1.84108109],[-1.87489676],[-0.18748968]
1042,1042,[1492.04498887],[-0.04384025],[32006.06033794],[1.83645261],[-1.87436639],[-0.18743664]
1043,1043,[1484.1791514],[-0.04431895],[31940.66966052],[1.832493],[-1.87393156],[-0.18739316]
1044,1044,[1476.34829692],[-0.04482731],[31874.91393313],[1.82915842],[-1.87358613],[-0.18735861]
1045,1045,[1468.54631567],[-0.04536035],[31808.75537964],[1.82639909],[-1.87332295],[-0.18733229]
1046,1046,[1460.76758498],[-0.04591345],[31742.16445339],[1.82416105],[-1.87313424],[-0.18731342]
1047,1047,[1453.00701014],[-0.0464824],[31675.11913712],[1.82238784],[-1.87301181],[-0.18730118]
1048,1048,[1445.26004941],[-0.04706342],[31607.60419783],[1.82102189],[-1.87294728],[-0.18729473]
1049,1049,[1437.52272493],[-0.04765318],[31539.61041708],[1.8200058],[-1.87293228],[-0.18729323]
1050,1050,[1429.79162122],[-0.04824878],[31471.13381494],[1.81928342],[-1.87295864],[-0.18729586]
1051,1051,[1422.063873],[-0.04884778],[31402.1748833],[1.8188008],[-1.87301854],[-0.18730185]
1052,1052,[1414.33714388],[-0.04944819],[31332.7378423],[1.81850695],[-1.8731046],[-0.18731046]
1053,1053,[1406.6095974],[-0.05004841],[31262.82993131],[1.81835446],[-1.87321001],[-0.187321]
1054,1054,[1398.87986205],[-0.05064725],[31192.46074385],[1.81829995],[-1.87332856],[-0.18733286]
1055,1055,[1391.1469916],[-0.05124387],[31121.64161392],[1.81830445],[-1.87345471],[-0.18734547]
1056,1056,[1383.41042219],[-0.05183775],[31050.38505918],[1.81833355],[-1.87358363],[-0.18735836]
1057,1057,[1375.66992752],[-0.05242869],[30978.70428459],[1.81835747],[-1.87371116],[-0.18737112]
1058,1058,[1367.92557323],[-0.05301672],[30906.61274838],[1.81835107],[-1.87383383],[-0.18738338]
1059,1059,[1360.17767182],[-0.0536021],[30834.12379079],[1.81829365],[-1.87394882],[-0.18739488]
1060,1060,[1352.42673874],[-0.05418526],[30761.25032425],[1.81816877],[-1.87405392],[-0.18740539]
1061,1061,[1344.67345079],[-0.0547668],[30688.00458285],[1.81796393],[-1.87414751],[-0.18741475]
1062,1062,[1336.91860722],[-0.05534742],[30614.39792764],[1.81767028],[-1.87422847],[-0.18742285]
1063,1063,[1329.16309433],[-0.05592791],[30540.4407035],[1.81728218],[-1.87429614],[-0.18742961]
1064,1064,[1321.40785358],[-0.0565091],[30466.14214291],[1.81679682],[-1.87435026],[-0.18743503]
1065,1065,[1313.65385377],[-0.05709187],[30391.5103113],[1.81621387],[-1.87439091],[-0.18743909]
1066,1066,[1305.90206709],[-0.05767711],[30316.55208858],[1.81553498],[-1.87441844],[-0.18744184]
1067,1067,[1298.15344917],[-0.05826569],[30241.27318136],[1.81476348],[-1.87443343],[-0.18744334]
1068,1068,[1290.40892296],[-0.05885846],[30165.67816047],[1.81390396],[-1.87443664],[-0.18744366]
